,Team,Team Key,Season,Player,Player Key
0,Atlanta Hawks,ATL,2020-21,Solomon Hill,/players/h/hillso01.html
1,Atlanta Hawks,ATL,2020-21,Kevin Huerter,/players/h/huertke01.html
2,Atlanta Hawks,ATL,2020-21,Trae Young,/players/y/youngtr01.html
3,Atlanta Hawks,ATL,2020-21,John Collins,/players/c/collijo01.html
4,Atlanta Hawks,ATL,2020-21,Clint Capela,/players/c/capelca01.html
5,Atlanta Hawks,ATL,2020-21,Danilo Gallinari,/players/g/gallida01.html
7,Atlanta Hawks,ATL,2020-21,Tony Snell,/players/s/snellto01.html
9,Atlanta Hawks,ATL,2020-21,Bogdan Bogdanović,/players/b/bogdabo01.html
14,Atlanta Hawks,ATL,2020-21,Lou Williams,/players/w/willilo02.html
15,Atlanta Hawks,ATL,2020-21,De'Andre Hunter,/players/h/huntede01.html
16,Atlanta Hawks,ATL,2020-21,Kris Dunn,/players/d/dunnkr01.html
17,Atlanta Hawks,ATL,2020-21,Rajon Rondo,/players/r/rondora01.html
19,Atlanta Hawks,ATL,2019-20,DeAndre' Bembry,/players/b/bembrde01.html
21,Atlanta Hawks,ATL,2019-20,Vince Carter,/players/c/cartevi01.html
22,Atlanta Hawks,ATL,2019-20,John Collins,/players/c/collijo01.html
23,Atlanta Hawks,ATL,2019-20,Allen Crabbe,/players/c/crabbal01.html
24,Atlanta Hawks,ATL,2019-20,Dewayne Dedmon,/players/d/dedmode01.html
27,Atlanta Hawks,ATL,2019-20,Treveon Graham,/players/g/grahatr01.html
28,Atlanta Hawks,ATL,2019-20,Kevin Huerter,/players/h/huertke01.html
29,Atlanta Hawks,ATL,2019-20,De'Andre Hunter,/players/h/huntede01.html
31,Atlanta Hawks,ATL,2019-20,Alex Len,/players/l/lenal01.html
32,Atlanta Hawks,ATL,2019-20,Jabari Parker,/players/p/parkeja01.html
33,Atlanta Hawks,ATL,2019-20,Chandler Parsons,/players/p/parsoch01.html
35,Atlanta Hawks,ATL,2019-20,Jeff Teague,/players/t/teaguje01.html
36,Atlanta Hawks,ATL,2019-20,Evan Turner,/players/t/turneev01.html
39,Atlanta Hawks,ATL,2019-20,Trae Young,/players/y/youngtr01.html
40,Atlanta Hawks,ATL,2019-20,Clint Capela,/players/c/capelca01.html
41,Atlanta Hawks,ATL,2019-20,Nenê,/players/h/hilarne01.html
42,Atlanta Hawks,ATL,2019-20,Skal Labissière,/players/l/labissk01.html
46,Atlanta Hawks,ATL,2018-19,Justin Anderson,/players/a/anderju01.html
47,Atlanta Hawks,ATL,2018-19,Kent Bazemore,/players/b/bazemke01.html
48,Atlanta Hawks,ATL,2018-19,DeAndre' Bembry,/players/b/bembrde01.html
49,Atlanta Hawks,ATL,2018-19,Vince Carter,/players/c/cartevi01.html
50,Atlanta Hawks,ATL,2018-19,John Collins,/players/c/collijo01.html
52,Atlanta Hawks,ATL,2018-19,Dewayne Dedmon,/players/d/dedmode01.html
55,Atlanta Hawks,ATL,2018-19,Kevin Huerter,/players/h/huertke01.html
58,Atlanta Hawks,ATL,2018-19,Alex Len,/players/l/lenal01.html
59,Atlanta Hawks,ATL,2018-19,Jeremy Lin,/players/l/linje01.html
60,Atlanta Hawks,ATL,2018-19,Miles Plumlee,/players/p/plumlmi01.html
62,Atlanta Hawks,ATL,2018-19,Taurean Prince,/players/p/princta02.html
65,Atlanta Hawks,ATL,2018-19,Trae Young,/players/y/youngtr01.html
66,Atlanta Hawks,ATL,2018-19,Tyler Zeller,/players/z/zellety01.html
67,Atlanta Hawks,ATL,2018-19,Carmelo Anthony,/players/a/anthoca01.html
68,Atlanta Hawks,ATL,2018-19,Taurean Waller-Prince,/players/p/princta02.html
69,Atlanta Hawks,ATL,2018-19,Jamal Crawford,/players/c/crawfja01.html
71,Atlanta Hawks,ATL,2017-18,Luke Babbitt,/players/b/babbilu01.html
72,Atlanta Hawks,ATL,2017-18,Kent Bazemore,/players/b/bazemke01.html
73,Atlanta Hawks,ATL,2017-18,Marco Belinelli,/players/b/belinma01.html
74,Atlanta Hawks,ATL,2017-18,DeAndre' Bembry,/players/b/bembrde01.html
78,Atlanta Hawks,ATL,2017-18,John Collins,/players/c/collijo01.html
79,Atlanta Hawks,ATL,2017-18,Dewayne Dedmon,/players/d/dedmode01.html
82,Atlanta Hawks,ATL,2017-18,Jeremy Evans,/players/e/evansje01.html
83,Atlanta Hawks,ATL,2017-18,Ersan İlyasova,/players/i/ilyaser01.html
84,Atlanta Hawks,ATL,2017-18,Damion Lee,/players/l/leeda03.html
87,Atlanta Hawks,ATL,2017-18,Mike Muscala,/players/m/muscami01.html
88,Atlanta Hawks,ATL,2017-18,Miles Plumlee,/players/p/plumlmi01.html
89,Atlanta Hawks,ATL,2017-18,Taurean Prince,/players/p/princta02.html
90,Atlanta Hawks,ATL,2017-18,Dennis Schröder,/players/s/schrode01.html
93,Atlanta Hawks,ATL,2017-18,Dennis Schroder,/players/s/schrode01.html
94,Atlanta Hawks,ATL,2017-18,Jamal Crawford,/players/c/crawfja01.html
95,Atlanta Hawks,ATL,2017-18,Ersan Ilyasova,/players/i/ilyaser01.html
96,Atlanta Hawks,ATL,2017-18,Richard Jefferson,/players/j/jefferi01.html
97,Atlanta Hawks,ATL,2017-18,Taurean Waller-Prince,/players/p/princta02.html
98,Atlanta Hawks,ATL,2017-18,Mike Dunleavy,/players/d/dunlemi02.html
103,Atlanta Hawks,ATL,2017-18,Quinn Cook,/players/c/cookqu01.html
105,Atlanta Hawks,ATL,2016-17,Kent Bazemore,/players/b/bazemke01.html
106,Atlanta Hawks,ATL,2016-17,DeAndre' Bembry,/players/b/bembrde01.html
107,Atlanta Hawks,ATL,2016-17,José Calderón,/players/c/caldejo01.html
